,Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
175,92270,249000,64.0,3750,2
176,92600,245000,55.0,4455,2
177,92360,260000,77.0,3377,4
178,92700,285000,48.0,5938,2
179,92110,275000,42.0,6548,2
180,92360,264000,66.0,4000,4
181,92300,179500,34.6,4917,1
182,92140,240 000 à 255 000 €,25 à 28 m²,4917,1
183,92130,298000,42.0,7095,2
184,92400,199000,22.14,8988,1
185,92700,à partir de 286 000 €,43 m² min,8988,2
186,92500,294000,50.0,5880,3
187,92600,249000,30.0,7967,1
188,92230,237 000 à 297 000 €,40 à 58 m²,7967,1 à 3 pièces
189,92230,192000,27.0,7111,1
190,92360,196500,56.0,3509,3
191,92360,199500,56.0,3563,3
192,92360,212700,56.0,3798,3
193,92360,257900,77.0,3349,4
194,92500,à partir de 257 000 €,29 m² min,3349,1
195,92240,250000,34.0,7000,2
196,92700,230 000 à 285 000 €,25 à 40 m²,7000,1 à 2 pièces
197,92110,235000,30.0,7833,2
198,92700,265000,48.0,5521,3
199,92160,265000,64.0,3953,3
200,92390,183 000 à 295 000 €,27 à 66 m²,3953,1 à 3 pièces
201,92390,212 000 à 287 000 €,39 à 69 m²,3953,2 à 3 pièces
202,92700,169900,30.0,5663,1
203,92140,258000,32.31,7985,1
204,92390,209 800 à 329 000 €,29 à 68 m²,7985,1 à 3 pièces
205,92230,247 000 à 293 000 €,36 à 47 m²,7985,1 à 2 pièces
206,92150,285000,33 à 36 m²,7985,1
207,92700,à partir de 269 000 €,36 m² min,7985,2
208,92600,à partir de 289 000 €,40 m² min,7985,2
209,92290,251 000 à 293 000 €,33 à 36 m²,7985,1
210,92380,à partir de 290 000 €,36.21,7985,1
211,92700,à partir de 269 300 €,30 à 32 m²,7985,1
212,92700,275000,57.0,4825,3
213,92500,265000,28.73,9224,1
214,92150,268 000 à 290 000 €,24 à 27 m²,9224,1
215,92700,254 787 à 288 910 €,30 à 35 m²,9224,1
216,92290,269025,42.25,6367,2
217,92260,255000,54.73,4659,3
218,92140,255000,40.0,6375,2
219,92800,300000,38.0,7895,2
220,92700,149000,20.0,7450,1
221,92700,299000,51.0,5686,2
222,92200,106000,7.92,12600,1
223,92000,269000,41.8,6435,12 m² de terrain
224,92130,248000,30.13,8231,1
225,92360,199000,55.0,3618,3
226,92250,262500,37.0,7095,2
227,92130,275000,44.0,6250,3
228,92700,265000,69.33,3822,4
229,92600,165000,19.0,8263,1
230,92140,185000,31.63,5849,2
231,92360,244600,63.0,3883,3
232,92360,239000,74.0,3081,3
233,92140,130000,19.0,6842,1
234,92160,165000,32.0,5156,1
235,92290,299000,69.0,4187,2
236,92350,299000,67.0,4312,3
237,92600,120000,14.0,8000,1
238,92600,208000,34.0,5882,1
239,92500,210000,33.47,6274,1
240,92600,219000,67.0,3269,3
241,92600,248000,47.71,4998,3
242,92600,269000,62.0,4339,3
243,92120,210000,28.4,7042,2
244,92700,170369,30.0,5679,2
245,92140,260000,38.0,6645,3
246,92170,135000,18.0,7111,1
247,92370,230000,31.0,7419,1
248,92160,173000,24.0,7208,1
249,92160,270000,57.0,4737,3
250,92260,254000,57.0,4456,3
251,92700,215000,54.0,3981,3
252,92600,249000,44.0,5659,2
253,92120,297150,34.6,8179,2
254,92600,295000,74.0,3986,3
255,92290,299000,82.0,3646,4
256,92310,96000,18.5,5189,1
257,92400,189000,25.05,7545,1
258,92700,295000,47.6,6197,2
259,92700,177000,32.0,5313,2
260,92400,80000,10.0,8000,1
261,92700,258000,64.0,4031,4
262,92160,272000,62.02,4192,3
263,92230,199000,44.0,4523,3
264,92700,165000,24.0,6875,1
265,92260,79000,14.0,5429,1
266,92190,220000,55.0,4000,3
267,92700,149000,20.0,7450,1
268,92700,245000,42.07,5824,3
269,92500,219000,55.0,3982,2
270,92170,242000,41.0,5902,2
271,92600,275000,41.0,6707,2
272,92240,197000,26.0,7115,2
273,92140,179500,30.0,5983,2
274,92260,299000,69.0,4333,4
275,92100,180000,22.0,8182,1
276,92700,226000,65.0,3477,4
277,92600,219000,29.0,7552,1
278,92360,205000,56.0,3661,3
279,92700,290000,77.31,3751,4
280,92370,298000,56.0,5321,3
281,92370,280000,47.39,5908,2
282,92120,233200,22.08,9964,1
283,92100,175000,18.0,9722,1
284,92220,279500,41.0,6817,2
285,92600,203000,28.0,6978,2
286,92700,289000,70.0,4129,3
287,92360,220000,54.0,4074,3
288,92600,259000,32.0,7781,1
289,92600,239000,63.0,3651,3
290,92250,204900,25.0,8196,1
291,92700,170369,30.0,5679,2
292,92160,99000,18.0,5500,1
293,92400,295000,63.0,4296,3
294,92700,149900,33.0,4542,2
295,92400,169600,20.0,8000,1
296,92220,200000,29.0,6897,1
297,92130,275000,35.0,7857,2
298,92360,234000,62.0,3774,3
299,92260,224000,38.0,5895,2
300,92170,250000,30.22,7859,2
301,92100,199000,23.0,8217,1
302,92400,110000,17.0,6471,1
303,92350,250000,59.05,3997,3
304,92700,199000,26.56,7492,2
305,92700,270000,52.24,5168,2
306,92360,237000,56.0,4232,3
307,92210,285000,37.0,7703,2
308,92700,200000,52.86,3784,3
309,92160,231000,52.88,4160,3
310,92230,196000,55.0,3564,3
311,92700,170369,30.0,5679,2
312,92700,250000,74.0,3378,4
313,92220,260000,44.0,5909,2
314,92290,255000,57.0,4302,3
315,92600,140000,25.0,5600,2
316,92600,190000,28.56,6653,2
317,92160,270000,46.0,5587,2
318,92500,269000,36.0,7083,1
319,92500,297000,46.0,6457,2
320,92500,232000,28.0,8286,1
321,92150,238 000 à 277 000 €,24 à 27 m²,8286,1
322,92320,252 000 à 284 000 €,27 à 31 m²,8286,1
323,92250,285000,28.0,10200,1
324,92700,285 001 à 299 147 €,45 à 46 m²,10200,2
325,92130,299000,23.0,1300,3
326,92600,285000,47.0,6064,2
327,92000,180000,27.0,6667,2
328,92120,249900,30.5,7869,2
329,92160,292500,67.0,4179,4
330,92330,207000,32.37,6395,1
331,92600,285000,34.83,8183,2
332,92120,289000,48.24,5701,2
333,92000,300000,49.13,5862,2
334,92320,299000,58.0,5155,3
335,92700,260000,68.4,3582,3
336,92120,255000,34.0,7206,2
337,92170,269000,22.93,11700,1
338,92260,265 000 à 299 000 €,32 à 44 m²,11700,1 à 2 pièces
339,92290,249000,64.0,3891,4
340,92700,110000,14.45,7612,1
341,92600,235000,42.0,5595,2
342,92700,225000,37.0,6081,2
343,92700,299000,49.42,6050,3
344,92700,139000,22.0,6318,1
345,92290,210000,64.0,3281,4
346,92150,300000,61.0,4918,3
347,92390,129000,27.0,4778,1
348,92600,190000,27.55,6897,2
349,92270,239000,36.0,6639,2
350,92150,297000,37.1,8005,2
351,92250,297000,49.0,5878,3
352,92600,203000,29.85,6533,2
353,92270,235000,43.0,5465,2
354,92100,279000,25.12,10600,1
355,92360,250000,67.0,3731,4
356,92320,299000,60.0,4983,3
357,92700,270000,46.0,5870,2
358,92500,294000,66.56,4207,4
359,92600,285000,45.0,6017,3
360,92360,270000,74.0,3649,4
361,92100,240000,27.0,8889,1
362,92500,295000,59.0,5000,3
363,92700,220000,54.08,4068,3
364,92120,223000,29.23,7629,1
365,92140,189000,24.74,7276,2
366,92700,243000,42.71,5690,2
367,92600,213500,30.0,7117,2
368,92600,169000,25.0,6760,2
369,92600,175000,24.0,7292,2
370,92600,230000,35.0,6571,2
371,92290,230000,60.0,3833,3
372,92700,179000,47.36,3780,3
373,92600,255000,37.0,6892,2
374,92800,294000,31.0,9484,2
375,92600,290000,80.0,3625,3
376,92120,200340,43.0,4395,2
377,92360,249500,66.0,3780,4
378,92130,285000,38.0,7246,2
379,92300,200000,20.0,1000,1
380,92700,172000,24.0,7167,1
381,92290,299000,88.0,3256,4
382,92700,199000,54.0,3685,3
383,92160,259000,66.56,3891,3
384,92160,269000,66.03,4074,3
385,92290,188000,24.6,7439,2
386,92700,219000,57.0,3842,3
387,92290,89000,12.0,7417,1
388,92150,227000,27.0,8407,1
389,92150,285000,55.0,5182,2
390,92150,283000,31.12,9094,1
391,92140,290000,52.0,5577,3
392,92140,273500,66.21,3944,4
393,92190,218000,35.0,6229,1
394,92600,299000,37.0,8081,2
395,92290,289000,63.0,4413,3
396,92270,244000,38.0,6421,2
397,92130,300000,25.0,1200,1
398,92360,207900,56.0,3713,3
399,92120,295000,37.0,7973,2
400,92360,259000,70.0,3541,4
401,92310,290000,45.0,6444,3
402,92290,239000,43.0,5558,2
403,92380,286 000 à 295 000 €,26.0,1100,1
404,92700,265000,48.21,5497,2
405,92360,213000,45.0,4733,2
406,92110,199000,21.22,9378,1
407,92110,285000,39.0,7308,2
408,92210,292000,37.0,7892,2
409,92130,87000,15.0,5800,1
410,92160,168000,30.0,5600,1
411,92100,191000,19.0,10100,1
412,92320,289000,47.0,6149,3
413,92500,210000,65.37,3060,3
414,92350,220000,28.0,7857,1
415,92130,219000,24.0,9125,1
416,92700,289000,46.03,6279,3
417,92100,225000,27.3,7875,1
418,92100,191000,19.0,10100,1
419,92160,211000,38.02,5550,2
420,92160,277000,64.58,4289,3
421,92360,235000,56.0,4196,3
422,92600,259000,39.6,6540,2
423,92000,100000,17.0,5882,1
424,92360,204000,56.0,3643,3
425,92350,279000,50.0,5580,3
426,92360,233500,71.62,3260,4
427,92290,260000,60.0,4333,3
428,92500,248000,30.0,8267,1
429,92140,76000,18.0,4222,1
430,92000,141750,25.3,5336,1
431,92100,258960,31.0,8354,1
432,92700,280000,52.76,5307,3
433,92700,185000,32.0,5313,3
434,92390,165000,31.0,5323,1
435,92100,269000,31.41,8118,2
436,92500,60000,9.0,6667,1
437,92300,296000,32.0,8906,2
438,92500,240000,64.0,3750,4
439,92140,250000,42.59,5689,2
440,92140,224000,73.0,3068,4
441,92250,235000,35.0,6714,2
442,92700,278000,46.0,6043,3
443,92290,299000,59.0,5068,3
444,92370,224000,2 pièces,5068,1 chambre
445,92120,217000,31.0,7000,1
446,92600,295000,45.7,6455,2
447,92230,268000,56.0,4786,4
448,92140,273000,36.29,7302,2
449,92000,124909,21.0,5948,1
450,92600,300000,46.0,6239,2
451,92160,270000,73.16,3691,3
452,92600,à partir de 249 000 €,22 à 28 m²,3691,1
453,92100,158000,17.51,8567,1
454,92120,199000,28.69,6623,2
455,92140,99000,18.0,5500,1
456,92330,à partir de 280 000 €,28 m² min,5500,1
457,92320,275000,39.58,6620,2
458,92700,265 000 à 275 000 €,28 à 48 m²,6620,1 à 2 pièces
459,92600,à partir de 259 200 €,29.0,6620,1
460,92260,à partir de 192 000 €,31 à 48 m²,6620,1 à 2 pièces
461,92700,296000,41.6,7115,2
462,92600,245000,38.26,6404,2
463,92160,294000,67.24,4372,4
464,92000,159500,28.35,5291,1
465,92290,279000,73.0,3822,4
466,92390,300000,86.0,3488,4
467,92350,235000,64.0,3514,4
468,92100,270000,28.0,9643,1
469,92700,275000,45.0,6111,2
470,92000,200000,28.0,7143,2
471,92600,290000,48.0,6042,2
472,92700,278000,56.0,4964,3
473,92300,225000,25.0,9000,1
474,92600,106000,18.0,5889,1
475,92000,122900,19.0,6468,1
476,92380,279000,48.0,5604,2
477,92310,285000,66.0,4318,3
478,92100,230000,19.0,11600,1
479,92110,139000,16.0,8063,1
480,92110,195000,25.0,7400,2
