Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Dacia Duster,21299.0,15/10/2022,1,0,Essence,Boîte manuelle 6 rapports,6.0,100.0
Ford PUMA,25499.0,01/11/2022,1,0,Micro-hybride essence,Boîte automatique 7 rapports,6.0,125.0
Peugeot 208,9999.0,28/05/2015,0,89465,Essence,Boîte manuelle 5 rapports,4.0,68.0
Opel Corsa Nouvelle,20799.0,25/10/2022,1,0,Essence,Boîte automatique 8 rapports,5.0,100.0
Peugeot 3008,11999.0,20/11/2012,0,89703,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Renault Clio 4,10999.0,30/04/2013,0,82785,Essence,Boîte manuelle 5 rapports,5.0,90.0
Peugeot 2008,11299.0,15/01/2015,0,116227,Diesel,Boîte manuelle 5 rapports,5.0,92.0
Citroën C3,9999.0,30/04/2013,0,31872,Essence,Boîte manuelle 5 rapports,4.0,68.0
Dacia Sandero,9999.0,01/05/2013,0,100151,Essence,Boîte manuelle 5 rapports,5.0,90.0
Peugeot 308,12999.0,21/05/2015,0,101267,Essence,Boîte manuelle 5 rapports,5.0,110.0
Volkswagen Polo,10499.0,10/12/2014,0,88807,Essence,Boîte manuelle 5 rapports,4.0,60.0
Renault Captur,11999.0,29/12/2015,0,104519,Diesel,Boîte manuelle 6 rapports,5.0,110.0
Renault Mégane 4,10999.0,24/02/2016,0,118051,Essence,Boîte manuelle 6 rapports,5.0,100.0
Renault Clio 5,18699.0,01/11/2022,1,0,GPL,Boîte manuelle 6 rapports,5.0,101.0
Volkswagen Golf 7,14999.0,25/07/2015,0,115225,Essence,Boîte automatique 7 rapports,6.0,125.0
Fiat 500,9499.0,29/09/2014,0,49114,Essence,Boîte manuelle 5 rapports,4.0,69.0
Citroën C4 Cactus,11999.0,30/06/2016,0,99909,Diesel,Boîte manuelle 5 rapports,5.0,99.0
Renault Twingo 3,9299.0,31/12/2015,0,69037,Essence,Boîte manuelle 5 rapports,4.0,70.0
Toyota Yaris,13299.0,31/01/2014,0,90995,Hybride essence,Boîte automatique 1 rapport,3.0,75.0
Citroën C3 Aircross,15799.0,02/01/2019,0,42013,Essence,Boîte manuelle 5 rapports,5.0,82.0
Toyota Yaris,10999.0,22/04/2015,0,50502,Essence,Boîte manuelle 5 rapports,4.0,69.0
Renault Kadjar,17499.0,22/06/2016,0,79245,Essence,Boîte automatique 7 rapports,7.0,130.0
Peugeot 2008 Nouveau,22499.0,25/02/2021,0,37501,Essence,Boîte manuelle,5.0,100.0
Peugeot 5008,15999.0,07/01/2016,0,105426,Essence,Boîte manuelle 6 rapports,7.0,130.0
Volkswagen Tiguan,16999.0,09/12/2015,0,78870,Essence,Boîte manuelle 6 rapports,7.0,125.0
Toyota C-HR,22499.0,22/03/2017,0,46427,Hybride essence,Boîte automatique 1 rapport,4.0,98.0
Peugeot 308 SW,13499.0,26/11/2015,0,106254,Diesel,Boîte automatique 6 rapports,6.0,120.0
Citroën C3 Aircross Nouveau,21499.0,28/10/2022,1,0,Essence,Boîte manuelle 6 rapports,6.0,110.0
Peugeot 108,8599.0,30/09/2014,0,66206,Essence,Boîte manuelle 5 rapports,4.0,69.0
Citroën C1,9799.0,19/01/2017,0,59997,Essence,Boîte manuelle 5 rapports,4.0,68.0
BMW Série 1,13799.0,30/09/2014,0,125596,Diesel,Boîte manuelle 6 rapports,5.0,95.0
Ford Fiesta,10499.0,31/05/2016,0,86164,Essence,Boîte manuelle 5 rapports,5.0,82.0
Citroën Berlingo,17899.0,06/05/2019,0,22296,138 km,Électrique,,1.0
Citroën C4,11499.0,10/03/2016,0,105311,Essence,Boîte manuelle 5 rapports,6.0,110.0
Mercedes Classe A,19999.0,02/05/2017,0,91522,Essence,Boîte manuelle 6 rapports,6.0,102.0
Mercedes GLA,18999.0,23/01/2015,0,100349,Diesel,Boîte manuelle 6 rapports,7.0,136.0
Fiat Panda,9299.0,13/03/2014,0,69819,Essence,Boîte manuelle 5 rapports,4.0,69.0
Nissan Juke,12799.0,28/06/2016,0,102585,Diesel,Boîte manuelle 6 rapports,5.0,110.0
Audi A3 Sportback,17199.0,30/06/2015,0,81456,Essence,Boîte manuelle 6 rapports,6.0,110.0
Renault Twingo 2,7799.0,17/03/2014,0,109190,Essence,Boîte manuelle 5 rapports,4.0,75.0
Skoda Fabia,8499.0,01/09/2014,0,114595,Essence,Boîte manuelle,,
Renault Arkana,32399.0,01/07/2022,1,0,Hybride essence,Boîte automatique 4 rapports,5.0,94.0
Toyota AYGO,10999.0,28/05/2019,0,66170,Essence,Boîte manuelle 5 rapports,4.0,69.0
Cupra FORMENTOR,32999.0,01/07/2022,1,0,,,8.0,150.0
Renault Clio 4 Société,8999.0,16/12/2016,0,90323,,,4.0,75.0
Audi Q3 Sportback,43899.0,01/09/2022,1,0,Micro-hybride essence,Boîte automatique 7 rapports,8.0,150.0
Nissan Micra,9499.0,26/11/2014,0,81099,Essence,Boîte manuelle 5 rapports,4.0,80.0
Citroën C4 Picasso,12999.0,06/02/2017,0,126961,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Mini Mini,14499.0,15/04/2015,0,81516,Diesel,Boîte manuelle 6 rapports,5.0,116.0
Kia Rio,9499.0,17/12/2014,0,78219,Essence,Boîte manuelle 5 rapports,5.0,85.0
Volkswagen Up,8799.0,03/01/2013,0,55649,Essence,Boîte manuelle 5 rapports,3.0,60.0
Mini Countryman,11399.0,17/11/2011,0,144017,Essence,Boîte manuelle 6 rapports,7.0,122.0
Volkswagen Up,8799.0,03/01/2013,0,55649,Essence,Boîte manuelle 5 rapports,3.0,60.0
Mini Countryman,11399.0,17/11/2011,0,144017,Essence,Boîte manuelle 6 rapports,7.0,122.0
DS DS 3,10299.0,18/09/2014,0,117332,Diesel,Boîte manuelle 5 rapports,4.0,68.0
Renault Captur Nouveau,20899.0,01/10/2022,1,0,Essence,Boîte manuelle 6 rapports,5.0,90.0
Fiat Tipo,10999.0,30/11/2016,0,90978,Diesel,Boîte manuelle 5 rapports,5.0,95.0
Citroën C5 Aircross,26999.0,30/12/2022,1,0,Essence,Boîte manuelle 6 rapports,7.0,131.0
Smart FORTWO,8999.0,27/12/2011,0,48767,Essence,Boîte automatique 5 rapports,5.0,84.0
Ford Focus,11499.0,06/02/2015,0,113760,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Renault Twizy,7999.0,27/07/2018,0,3133,,,,2.0
Renault Clio 4 Estate,13299.0,30/01/2017,0,70725,Essence,Boîte manuelle 5 rapports,5.0,90.0
Peugeot 508,13999.0,24/10/2014,0,102350,Essence,Boîte manuelle 6 rapports,9.0,165.0
Seat Mii,7499.0,26/07/2012,0,82950,,,3.0,60.0
Fiat 500C,9499.0,28/03/2013,0,93868,Diesel,Boîte manuelle 5 rapports,5.0,95.0
Alfa Romeo MiTo,9699.0,31/12/2015,0,124956,Essence,Boîte manuelle 6 rapports,5.0,105.0
Renault Scénic 4,15999.0,22/03/2018,0,99778,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Renault Mégane 3,9999.0,14/03/2013,0,74187,Essence,Boîte manuelle 5 rapports,6.0,115.0
Opel Mokka,12999.0,26/11/2015,0,83814,Essence,Boîte manuelle 6 rapports,8.0,140.0
BMW X1,17999.0,16/03/2015,0,91606,Diesel,Boîte automatique 8 rapports,8.0,143.0
DS DS 5,11999.0,22/05/2012,0,112152,Diesel,Boîte automatique 6 rapports,6.0,110.0
Volkswagen Golf,14799.0,07/09/2015,0,60358,Essence,Boîte manuelle 5 rapports,5.0,85.0
Seat Ibiza SC,9999.0,11/05/2015,0,85538,Essence,Boîte manuelle 5 rapports,5.0,85.0
Toyota Aygo Nouvelle,10499.0,10/06/2019,0,40115,Essence,Boîte manuelle 5 rapports,4.0,69.0
Ford B-Max,10499.0,30/11/2012,0,87955,Essence,Boîte manuelle 5 rapports,5.0,90.0
Renault Clio 3,9999.0,13/06/2014,0,107803,Essence,Boîte manuelle 5 rapports,5.0,75.0
Kia Sportage,16999.0,09/01/2018,0,119854,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Volkswagen Touran,14499.0,05/02/2014,0,125745,Diesel,Boîte automatique 7 rapports,6.0,105.0
Ford KA+,11299.0,27/11/2018,0,27007,Essence,Boîte manuelle 5 rapports,5.0,85.0
Ford Focus SW,10999.0,18/09/2014,0,108334,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Renault Talisman,14999.0,21/12/2015,0,116075,Diesel,Boîte automatique 6 rapports,8.0,160.0
Citroën C3 Societe,10499.0,17/10/2017,0,67550,,,4.0,75.0
Fiat Fiorino,17599.0,22/08/2022,1,0,,,5.0,80.0
Nissan Note,9999.0,11/06/2015,0,62087,Essence,Boîte manuelle 5 rapports,4.0,80.0
Ford C-Max,11999.0,12/09/2014,0,73855,Essence,Boîte manuelle 6 rapports,6.0,125.0
Opel Crossland X,15199.0,30/07/2020,0,33564,Essence,Boîte manuelle,5.0,83.0
Renault Grand Scenic 3,13699.0,30/03/2016,0,111101,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Smart FORFOUR,9999.0,26/02/2015,0,61388,Essence,Boîte manuelle 5 rapports,4.0,90.0
Skoda FABIA COMBI,11299.0,18/05/2017,0,83402,,,5.0,90.0
DS DS3,11999.0,26/07/2013,0,59432,Essence,Boîte manuelle 6 rapports,8.0,155.0
Citroën C4 Aircross,13299.0,19/03/2015,0,104128,Diesel,Boîte manuelle 6 rapports,6.0,115.0
DS DS3 CROSSBACK,24299.0,21/06/2019,0,46991,Essence,Boîte automatique 8 rapports,6.0,130.0
Renault Espace 5,19999.0,10/05/2017,0,90221,,,8.0,160.0
Renault Mégane 4 Estate,19499.0,02/05/2018,0,70044,Diesel,Boîte automatique 6 rapports,8.0,165.0
Renault Mégane 3 Coupé,11499.0,14/04/2014,0,38821,Essence,Boîte manuelle 6 rapports,6.0,115.0
Opel Adam,12251.0,16/08/2019,0,24675,Essence,Boîte manuelle,,4.0
Opel Crossland X,15799.0,31/05/2019,0,49655,Diesel,Boîte manuelle,,5.0
Suzuki Ignis,18599.0,17/06/2021,0,6141,Micro-hybride essence,Boîte automatique 5 rapports,4.0,83.0
BMW Série 2 Active Tourer,16699.0,29/03/2016,0,69193,Diesel,Boîte manuelle 6 rapports,6.0,116.0
Fiat TIPO Station Wagon,11499.0,24/05/2017,0,97485,Diesel,Boîte manuelle 5 rapports,5.0,95.0
DS DS7 CROSSBACK,28999.0,10/09/2019,0,49070,Essence,Boîte automatique 8 rapports,9.0,180.0
Alfa Romeo Giulietta,14999.0,30/03/2015,0,98757,Diesel,Boîte manuelle 6 rapports,7.0,150.0
Dacia JOGGER,22899.0,29/11/2022,1,0,Essence,Boîte manuelle,6.0,110.0
Kia Stonic,18099.0,22/07/2021,0,8849,Essence,Boîte manuelle,,4.0
Mitsubishi ECLIPSE CROSS,35199.0,21/02/2022,1,0,,,5.0,98.0
Nissan Micra Phase 1,10499.0,18/11/2016,0,70583,,,4.0,80.0
Audi A3,16499.0,19/09/2016,0,129346,Diesel,Boîte manuelle 6 rapports,7.0,150.0
Renault MEGANE III BERLINE,11499.0,26/11/2014,0,82374,,,5.0,95.0
Nissan X-Trail,15499.0,21/08/2015,0,132942,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Honda Civic,13499.0,09/02/2017,0,116257,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Dacia SPRING,17499.0,06/10/2021,0,19081,,,,2.0
Opel Mokka X,14499.0,15/02/2017,0,104909,Diesel,Boîte manuelle 6 rapports,7.0,136.0
Opel Astra,14799.0,17/03/2017,0,85650,Diesel,Boîte manuelle 6 rapports,7.0,136.0
Volkswagen T-Cross,21799.0,01/04/2022,0,5310,Essence,Boîte manuelle 5 rapports,5.0,95.0
DS DS 4,13499.0,16/07/2015,0,67177,Essence,Boîte manuelle 6 rapports,7.0,130.0
Hyundai i20,15399.0,08/12/2021,0,20181,Essence,Boîte manuelle,,4.0
Hyundai Tucson,17799.0,14/02/2018,0,88618,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Seat Ibiza SC,13499.0,22/12/2015,0,77222,Essence,Boîte manuelle 6 rapports,6.0,110.0
Peugeot 208 AFFAIRE,14499.0,22/01/2019,0,34605,,,5.0,100.0
Mini Clubman,17199.0,09/01/2018,0,101377,Essence,Boîte automatique 6 rapports,7.0,136.0
Citroën Grand C4 Picasso,19299.0,24/07/2017,0,80562,Diesel,Boîte automatique 6 rapports,6.0,120.0
Hyundai i10,14999.0,31/10/2020,0,34030,Essence,Boîte manuelle 5 rapports,5.0,101.0
Citroën Berlingo Fourgon,14499.0,26/09/2017,0,71804,Diesel,Boîte manuelle 6 rapports,5.0,120.0
Abarth 595,14974.0,17/02/2016,0,49258,,,7.0,140.0
Kia Niro,20699.0,13/12/2016,0,76366,Hybride essence,Boîte automatique 6 rapports,5.0,105.0
Toyota RAV4,18999.0,21/07/2017,0,93605,,,7.0,143.0
Seat Ateca,18499.0,21/08/2017,0,50389,Essence,Boîte manuelle 6 rapports,6.0,116.0
Opel Grandland X,17499.0,25/03/2019,0,98133,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Hyundai Tucson Nouveau,17499.0,05/04/2016,0,87144,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Lexus CT,18999.0,08/06/2016,0,72613,Hybride essence,Boîte automatique 1 rapport,5.0,99.0
Citroën GRAND C4 SPACETOURER,19299.0,31/05/2019,0,60025,Diesel,Boîte manuelle 6 rapports,6.0,130.0
Skoda Superb,15299.0,26/04/2017,0,109273,Diesel,Boîte automatique 7 rapports,6.0,120.0
Ford Mondeo SW,13499.0,01/03/2016,0,134060,,,8.0,150.0
Volkswagen Golf 8,24699.0,01/08/2021,0,36650,Diesel,Boîte manuelle,5.0,113.0
Skoda Rapid Spaceback,14999.0,21/09/2018,0,37808,Essence,Boîte manuelle 5 rapports,5.0,95.0
Mini Paceman,14499.0,28/02/2014,0,61524,Essence,Boîte manuelle 6 rapports,7.0,122.0
Peugeot Partner Tepee,15499.0,24/02/2016,0,86790,Diesel,Boîte manuelle 5 rapports,5.0,100.0
Audi A4 Avant,18499.0,04/01/2016,0,130122,Diesel,Boîte manuelle 6 rapports,7.0,150.0
Kia Soul,15799.0,18/05/2016,0,74326,195 km,Électrique,,1.0
Skoda KAMIQ,20499.0,11/03/2020,0,50818,Essence,Boîte automatique 7 rapports,6.0,116.0
Honda Jazz,14999.0,06/01/2016,0,40753,Essence,Boîte manuelle 6 rapports,5.0,102.0
Mazda Mazda 3,17499.0,21/01/2017,0,55421,Essence,Boîte manuelle 6 rapports,6.0,120.0
Fiat Tipo Sport Wagon,14499.0,27/02/2018,0,54916,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Mazda MAZDA6 WAGON,15499.0,25/01/2017,0,104220,,,7.0,150.0
Audi A3 Berline,16999.0,30/01/2015,0,115886,,,7.0,150.0
Hyundai Kona,17999.0,09/07/2019,0,52297,Essence,Boîte manuelle 6 rapports,6.0,120.0
Suzuki VITARA,18999.0,06/12/2017,0,62424,Essence,Boîte manuelle 6 rapports,7.0,140.0
Hyundai Ioniq,19299.0,19/12/2017,0,76985,Hybride essence,Boîte automatique 6 rapports,5.0,105.0
Suzuki Vitara Nouveau,24799.0,18/11/2022,1,0,Micro-hybride essence,Boîte manuelle 6 rapports,7.0,129.0
DS DS 3 Cabriolet,14399.0,29/03/2016,0,64989,,,5.0,110.0
Volkswagen T-Cross Nouveau,19999.0,27/06/2019,0,45831,Essence,Boîte manuelle 5 rapports,5.0,95.0
Seat Ibiza 3,16999.0,06/12/2017,0,57500,Essence,Boîte manuelle 6 rapports,6.0,115.0
Opel Astra Sports Tourer,17999.0,12/12/2019,0,31800,Diesel,Boîte automatique 9 rapports,6.0,122.0
Mazda CX-3,18299.0,03/01/2018,0,61391,Essence,Boîte automatique 6 rapports,7.0,120.0
Renault Talisman Estate,18999.0,22/11/2016,0,53170,Diesel,Boîte automatique 6 rapports,8.0,160.0
BMW Série 3,19499.0,18/06/2014,0,133305,Diesel,Boîte automatique 8 rapports,10.0,184.0
Mercedes Classe C,22999.0,28/02/2018,0,72020,Diesel,Boîte automatique 7 rapports,6.0,116.0
Opel CROSSLAND NOUVEAU,17299.0,09/04/2021,0,17515,Essence,Boîte manuelle 5 rapports,5.0,83.0
Hyundai Genesis,16999.0,23/12/2010,0,104420,,,21.0,303.0
Renault TWINGO ELECTRIC,18499.0,20/01/2022,0,6021,,,,3.0
Peugeot RIFTER,22699.0,05/03/2019,0,59879,Diesel,Boîte manuelle 5 rapports,5.0,100.0
Renault TRAFIC FOURGON,17499.0,22/02/2017,0,124660,,,5.0,125.0
Jeep Compass,19999.0,18/04/2018,0,79906,Diesel,Boîte manuelle 6 rapports,6.0,120.0
BMW X3,19699.0,11/12/2015,0,109075,Diesel,Boîte automatique 8 rapports,8.0,150.0
Citroën BERLINGO FOURGON VAN,17999.0,18/06/2020,0,68227,,,5.0,100.0
Skoda Scala,18599.0,13/01/2022,0,18440,Essence,Boîte manuelle,,5.0
Honda CR-V,17799.0,01/03/2014,0,41515,Essence,Boîte manuelle 6 rapports,9.0,150.0
Mercedes CLA Shooting Brake,22599.0,26/02/2018,0,95565,Diesel,Boîte automatique 7 rapports,9.0,177.0
Seat Leon X-Perience,16499.0,30/09/2016,0,122802,,,10.0,184.0
Volkswagen PASSAT,17999.0,29/02/2016,0,46446,,,8.0,150.0
Hyundai i20 ACTIVE,16299.0,22/10/2020,0,23137,,,5.0,100.0
Toyota Yaris 4 Nouvelle,19999.0,01/12/2022,1,0,Essence,Boîte manuelle 6 rapports,6.0,120.0
Ford TRANSIT CONNECT FGN,17499.0,13/11/2017,0,40505,,,5.0,100.0
Peugeot 508 SW,24499.0,17/10/2019,0,56642,Diesel,Boîte automatique 8 rapports,6.0,130.0
Toyota Corolla,22999.0,12/08/2019,0,38626,Hybride essence,Boîte automatique 1 rapport,4.0,98.0
