Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
VOLKSWAGEN T-ROC,27480.0,29-08-2018,1,34600,Diesel,Boîte automatique,8,150
RENAULT GRAND SCENIC,17480.0,17-04-2019,1,124200,Essence,Boîte manuelle,8,140
PEUGEOT 207,7480.0,21-02-2011,1,86500,Diesel,Boîte manuelle,6,112
BMW SERIE 2,15890.0,19-02-2018,1,136500,Diesel,Boîte manuelle,6,116
PEUGEOT 3008,19890.0,16-04-2018,1,130700,Essence,Boîte automatique,7,130
VOLKSWAGEN T-ROC,27480.0,29-08-2018,1,34600,Diesel,Boîte automatique,8,150
MINI MINI,26480.0,29-05-2015,1,8900,Essence,Boîte automatique,13,231
RENAULT TWINGO,6880.0,07-09-2012,1,51500,Essence,Boîte manuelle,4,75
VOLKSWAGEN GOLF,18480.0,21-09-2015,1,88800,Essence,Boîte automatique,8,150
SEAT ATECA,23880.0,11-01-2017,1,55700,Essence,Boîte automatique,8,150
RENAULT GRAND SCENIC,17480.0,17-04-2019,1,124200,Essence,Boîte manuelle,8,140
BMW SERIE 5,29480.0,29-05-2019,1,123000,Diesel,Boîte automatique,10,190
VOLKSWAGEN AMAROK,24890.0,26-09-2013,1,76000,Diesel,Boîte manuelle,7,180
TOYOTA YARIS,12480.0,03-02-2014,1,10300,Essence,Boîte manuelle,5,100
LOTUS ELISE,24880.0,09-02-2002,1,119000,Essence,Boîte manuelle,8,120
HONDA CIVIC TOURER,11480.0,29-02-2016,1,130500,Diesel,Boîte manuelle,6,120
AUDI Q5,32480.0,08-09-2016,1,77400,Diesel,Boîte automatique,16,258
MG MG4,25640.0,06-12-2022,1,100,Electrique,Boîte automatique,4,170
MG MG4,31640.0,06-12-2022,1,100,Electrique,Boîte automatique,5,204
MERCEDES CLASSE E,28480.0,14-04-2014,1,71500,Diesel,Boîte automatique,15,252
FIAT 500,6890.0,03-04-2013,1,67900,Essence,Boîte manuelle,4,69
OPEL ANTARA,7480.0,31-08-2012,1,151400,Diesel,Boîte manuelle,10,163
TOYOTA RAV 4,9480.0,01-06-2007,1,126200,Diesel,Boîte manuelle,8,136
PEUGEOT 3008,18890.0,19-06-2018,1,100200,Essence,Boîte automatique,7,130
CITROEN GRAND C4 PICASSO,16890.0,04-10-2016,1,108300,Essence,Boîte automatique,7,130
VOLVO C30,11480.0,03-10-2011,1,81200,Diesel,Boîte manuelle,8,150
MERCEDES CLASSE C,10480.0,19-05-2008,1,142700,Diesel,Boîte manuelle,8,136
FORD RANGER DOUBLE CABINE,23890.0,19-07-2016,1,171000,Diesel,Boîte automatique,11,200
PEUGEOT 308,11480.0,29-05-2015,1,135000,Diesel,Boîte automatique,6,120
VOLKSWAGEN GOLF,14480.0,15-02-2013,1,112500,Diesel,Boîte automatique,8,150
AUDI TT,22480.0,18-05-2016,1,106700,Essence,Boîte manuelle,10,180
AUDI A3,11890.0,10-02-2011,1,122000,Diesel,Boîte manuelle,5,105
BMW i i8 I12,67890.0,13-02-2015,1,90000,Hybrides,Boîte automatique,11,231
DACIA SANDERO,13890.0,15-05-2018,1,17500,Essence,Boîte automatique,5,90
CITROEN C5,9880.0,07-01-2010,1,145800,Diesel,Boîte automatique,15,240
VOLVO V40 CROSS COUNTRY,13480.0,27-11-2014,1,129700,Diesel,Boîte manuelle,8,150
