Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
AUTOSTAR AUROS 17 CAPUCINE,34890.0,16-02-2009,1,35500,Diesel,Boîte manuelle,8,130
NISSAN QASHQAI,17480.0,29-11-2019,1,114200,Essence,Boîte manuelle,7,140
CITROEN C3 AIRCROSS,13890.0,21-03-2019,1,109200,Essence,Boîte manuelle,5,110
DACIA SANDERO,7480.0,26-06-2015,1,96600,Essence,Boîte manuelle,5,75
RENAULT MASTER MINIBUS,8890.0,02-11-1999,1,108500,Diesel,Boîte manuelle,8,80
PEUGEOT EXPERT,9890.0,29-09-2009,1,126400,Diesel,Boîte manuelle,7,120
LAND ROVER DEFENDER,36890.0,11-01-2008,1,72200,Diesel,Boîte manuelle,10,122
BMW X3,25480.0,01-12-2015,1,96000,Diesel,Boîte automatique,10,190
PEUGEOT 3008,24480.0,26-09-2019,1,112200,Essence,Boîte automatique,10,180
OPEL CROSSLAND X,14890.0,19-03-2019,1,96000,Essence,Boîte automatique,6,110
NISSAN QASHQAI,17690.0,25-11-2019,1,104000,Essence,Boîte manuelle,7,140
AUDI A3,19480.0,13-04-2017,1,82000,Diesel,Boîte automatique,6,116
VOLKSWAGEN COCCINELLE,11480.0,30-08-2012,1,177800,Diesel,Boîte automatique,8,140
SMART FORTWO,8890.0,22-12-2014,1,53200,Essence,Boîte manuelle,4,71
JAGUAR E-PACE,27890.0,02-04-2019,1,115000,Diesel,Boîte automatique,9,150
PEUGEOT 308,17480.0,12-08-2019,1,102400,Essence,Boîte automatique,7,130
VOLKSWAGEN T-ROC,22890.0,18-04-2019,1,77200,Diesel,Boîte manuelle,6,115
CITROEN C5 AIRCROSS,24890.0,15-04-2019,1,91800,Essence,Boîte automatique,10,181
OPEL CROSSLAND X,15890.0,26-04-2019,1,36200,Essence,Boîte manuelle,5,110
FIAT 500 X,14480.0,22-12-2016,1,52000,Essence,Boîte manuelle,8,140
PEUGEOT 3008,19890.0,16-04-2018,1,130700,Essence,Boîte automatique,7,130
RENAULT CLIO,11880.0,14-06-2019,1,35300,Essence,Boîte manuelle,4,75
VOLKSWAGEN GOLF,14480.0,16-02-2012,1,121500,Essence,Boîte automatique,9,160
PEUGEOT 2008,13880.0,26-02-2016,1,49500,Essence,Boîte manuelle,5,110
PEUGEOT 3008,8980.0,24-02-2012,1,94500,Diesel,Boîte manuelle,6,112
RENAULT MEGANE,15880.0,02-02-2018,1,56200,Essence,Boîte manuelle,7,130
TOYOTA RAV 4,25880.0,11-01-2016,1,78500,Hybrides,Boîte automatique,8,155
HYUNDAI IONIQ,25880.0,04-10-2019,1,45800,Hybrides,Boîte automatique,3,105
AUDI A6 ALLROAD,21480.0,30-04-2014,1,136000,Diesel,Boîte automatique,12,204
CITROEN C3,7880.0,18-12-2012,1,99900,Essence,Boîte manuelle,4,82
MINI MINI,15480.0,24-09-2015,1,109000,Essence,Boîte manuelle,10,192
NISSAN QASHQAI,18880.0,25-11-2019,1,100900,Essence,Boîte manuelle,7,140
VOLKSWAGEN GOLF,11480.0,28-02-2013,1,163000,Diesel,Boîte automatique,5,105
MINI COUNTRYMAN,24480.0,04-02-2016,1,71200,Essence,Boîte automatique,13,218
RENAULT MEGANE,5480.0,28-05-2010,1,192200,Diesel,Boîte manuelle,6,110
PEUGEOT 308,14980.0,22-03-2018,1,99000,Essence,Boîte manuelle,6,110
RENAULT TWINGO,8980.0,24-09-2015,1,50000,Essence,Boîte manuelle,4,70
MERCEDES CLASSE C,7890.0,14-04-2006,1,108500,Diesel,Boîte automatique,9,150
FIAT PANDA BUSINESS,6880.0,15-06-2012,1,58500,Essence,Boîte manuelle,4,69
RENAULT CLIO,13480.0,28-06-2013,1,60300,Essence,Boîte automatique,6,120
