,Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
1526,Dacia Sandero,14999.0,15/03/2018,0.0,1626.0,Essence,Boîte manuelle 5 rapports,5.0,90.0
1527,Renault Captur,14299.0,13/08/2019,0.0,29612.0,Essence,Boîte manuelle 5 rapports,5.0,90.0
1528,Volkswagen Polo,11499.0,20/06/2016,0.0,94585.0,Essence,Boîte manuelle 5 rapports,4.0,75.0
1529,Renault Twingo 3,9599.0,04/08/2015,0.0,69132.0,Essence,Boîte manuelle 5 rapports,4.0,70.0
1530,Nissan Qashqai,18999.0,28/07/2017,0.0,44260.0,Essence,Boîte manuelle 6 rapports,6.0,115.0
1531,Fiat 500,10499.0,16/04/2018,0.0,89082.0,Essence,Boîte manuelle 5 rapports,4.0,69.0
1532,Renault Mégane 4,13999.0,30/11/2016,0.0,116024.0,Diesel,Boîte manuelle 6 rapports,5.0,110.0
1533,Renault Zoé,9799.0,30/01/2015,0.0,58688.0,165 km,Électrique,,1.0
1534,Citroën C4 Cactus,15999.0,29/05/2019,0.0,65237.0,Essence,Boîte manuelle 6 rapports,5.0,110.0
1535,Renault Clio 5,18999.0,01/11/2022,1.0,0.0,Essence,Boîte manuelle 6 rapports,5.0,91.0
1536,Renault Kadjar,16999.0,12/04/2018,0.0,91617.0,Diesel,Boîte manuelle 6 rapports,7.0,130.0
1537,Volkswagen Golf 7,16499.0,31/05/2019,0.0,96266.0,Essence,Boîte manuelle 6 rapports,6.0,115.0
1538,Peugeot 5008,27999.0,05/11/2019,0.0,38825.0,Diesel,Boîte manuelle 6 rapports,7.0,130.0
1539,Mercedes Classe A,26499.0,24/03/2017,0.0,38482.0,Essence,Boîte automatique 7 rapports,8.0,156.0
1540,Mini Mini,15999.0,05/01/2018,0.0,71975.0,Essence,Boîte manuelle 6 rapports,5.0,102.0
1541,Citroën C4 Picasso,16499.0,23/01/2017,0.0,72175.0,Diesel,Boîte automatique 6 rapports,6.0,120.0
1542,Citroën C5 Aircross,30999.0,30/11/2022,1.0,0.0,Diesel,Boîte manuelle 6 rapports,7.0,131.0
1543,Renault Captur Nouveau,22599.0,01/08/2022,1.0,0.0,Essence,Boîte manuelle 6 rapports,5.0,90.0
1544,Citroën Berlingo,22499.0,27/02/2019,0.0,20556.0,Essence,Boîte manuelle 6 rapports,6.0,110.0
1545,Opel Mokka,13399.0,27/02/2015,0.0,77767.0,Diesel,Boîte manuelle 6 rapports,7.0,136.0
1546,Skoda Fabia,13999.0,27/09/2019,0.0,31273.0,Essence,Boîte manuelle 5 rapports,4.0,75.0
1547,DS DS 3,14299.0,27/12/2017,0.0,42136.0,Essence,Boîte manuelle 5 rapports,4.0,82.0
1548,Fiat Tipo,14555.0,31/07/2019,0.0,24297.0,Essence,Boîte manuelle,,4.0
