Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Peugeot 3008,43899,28/03/2022,0,15305,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,47999,30/11/2021,0,10,Hybride essence rechargeable,Boîte automatique,11,200
Peugeot 3008,29499,30/06/2022,1,0,Diesel,Boîte manuelle 6 rapports,7,130
Peugeot 3008,30699,30/09/2022,1,0,Diesel,Boîte manuelle 6 rapports,7,130
Peugeot 3008,30899,30/11/2022,1,0,Diesel,Boîte manuelle 6 rapports,7,130
Peugeot 3008,30999,30/11/2022,1,0,Diesel,Boîte manuelle 6 rapports,7,130
Peugeot 3008,31499,30/11/2022,1,0,Diesel,Boîte manuelle 6 rapports,7,130
Peugeot 3008,33199,31/10/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
Peugeot 3008,32799,28/10/2022,1,0,Essence,Boîte automatique 8 rapports,7,130
Peugeot 3008,33999,28/10/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
Peugeot 3008,34499,29/07/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
Peugeot 3008,38199,18/02/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
Peugeot 3008,37599,29/07/2022,1,0,Diesel,Boîte automatique 8 rapports,7,130
Peugeot 3008,45199,23/09/2022,1,0,Hybride essence rechargeable,Boîte automatique 8 rapports,10,180
Peugeot 3008,45199,20/09/2022,1,0,Hybride essence rechargeable,Boîte automatique 8 rapports,10,180
Peugeot 3008,45199,30/09/2022,1,0,Hybride essence rechargeable,Boîte automatique 8 rapports,10,180
Peugeot 3008,46199,13/09/2022,1,0,Hybride essence rechargeable,Boîte automatique 8 rapports,10,180
Peugeot 3008,48199,27/05/2022,1,0,Hybride essence rechargeable,Boîte automatique 8 rapports,10,180
Peugeot 3008,12997,10/08/2016,0,114449,Diesel,Boîte automatique 6 rapports,6,120
Peugeot 3008,14999,22/07/2015,0,93300,Hybride diesel,Boîte automatique 6 rapports,8,163
Peugeot 3008,13499,08/07/2015,0,130065,Diesel,Boîte automatique 6 rapports,6,120
Peugeot 3008,27999,28/10/2019,0,47150,Essence,Boîte automatique 8 rapports,10,180
Peugeot 3008,29999,17/05/2021,0,53086,Essence,Boîte automatique 8 rapports,7,130
Peugeot 3008,30999,23/06/2020,0,14633,Diesel,Boîte automatique,7,130
Peugeot 3008,43899,28/03/2022,0,11184,Hybride essence rechargeable,Boîte automatique,11,200
Renault Twingo 3,10999,30/09/2016,0,30549,Essence,Boîte manuelle 5 rapports,4,90
Opel Mokka,12999,26/11/2015,0,83814,Essence,Boîte manuelle 6 rapports,8,140
Renault Clio 4,12999,13/07/2018,0,54253,,,5,90
Fiat Tipo,13499,05/11/2020,0,40146,Essence,Boîte manuelle 6 rapports,5,95
Citroën C4 Picasso,13499,21/05/2015,0,104800,Essence,Boîte manuelle 6 rapports,7,130
