Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
SMART FORTWO,8890.0,22-12-2014,1.0,53200.0,Essence,Boîte manuelle,4,71
JAGUAR E-PACE,27890.0,02-04-2019,1.0,115000.0,Diesel,Boîte automatique,9,150
VOLKSWAGEN T-ROC,22890.0,18-04-2019,1.0,77200.0,Diesel,Boîte manuelle,6,115
CITROEN C5 AIRCROSS,24890.0,15-04-2019,1.0,91800.0,Essence,Boîte automatique,10,181
OPEL CROSSLAND X,15890.0,26-04-2019,1.0,36200.0,Essence,Boîte manuelle,5,110
FIAT 500 X,14480.0,22-12-2016,1.0,52000.0,Essence,Boîte manuelle,8,140
PEUGEOT 3008,19890.0,16-04-2018,1.0,130700.0,Essence,Boîte automatique,7,130
RENAULT CLIO,11880.0,14-06-2019,1.0,35300.0,Essence,Boîte manuelle,4,75
VOLKSWAGEN GOLF,14480.0,16-02-2012,1.0,121500.0,Essence,Boîte automatique,9,160
PEUGEOT 308,7880.0,16-01-2014,1.0,188500.0,Diesel,Boîte manuelle,4,92
PEUGEOT 2008,13880.0,26-02-2016,1.0,49500.0,Essence,Boîte manuelle,5,110
PEUGEOT 3008,8980.0,24-02-2012,1.0,94500.0,Diesel,Boîte manuelle,6,112
TOYOTA RAV 4,25880.0,11-01-2016,1.0,78500.0,Hybrides,Boîte automatique,8,155
AUDI A6 ALLROAD,21480.0,30-04-2014,1.0,136000.0,Diesel,Boîte automatique,12,204
NISSAN QASHQAI,18880.0,25-11-2019,1.0,100900.0,Essence,Boîte manuelle,7,140
VOLKSWAGEN GOLF,11480.0,28-02-2013,1.0,163000.0,Diesel,Boîte automatique,5,105
MINI COUNTRYMAN,24480.0,04-02-2016,1.0,71200.0,Essence,Boîte automatique,13,218
RENAULT MEGANE,5480.0,28-05-2010,1.0,192200.0,Diesel,Boîte manuelle,6,110
RENAULT TWINGO,8980.0,24-09-2015,1.0,50000.0,Essence,Boîte manuelle,4,70
MERCEDES CLASSE C,7890.0,14-04-2006,1.0,108500.0,Diesel,Boîte automatique,9,150
RENAULT CLIO,13480.0,28-06-2013,1.0,60300.0,Essence,Boîte automatique,6,120
FIAT 500,13280.0,31-07-2018,1.0,30200.0,Essence,Boîte manuelle,4,69
RENAULT CAPTUR,11980.0,16-09-2014,1.0,76200.0,Essence,Boîte automatique,6,120
MERCEDES CLASSE GLK,18880.0,24-09-2012,1.0,97800.0,Diesel,Boîte automatique,10,170
HYUNDAI i20,11480.0,06-01-2017,1.0,82500.0,Essence,Boîte manuelle,5,100
FIAT 500,13880.0,24-11-2016,1.0,33700.0,Essence,Boîte automatique,4,85
VOLKSWAGEN COCCINELLE,14880.0,25-04-2013,1.0,147000.0,Essence,Boîte automatique,6,105
VOLKSWAGEN GOLF,18480.0,21-09-2015,1.0,88800.0,Essence,Boîte automatique,8,150
MAZDA 6,17880.0,15-06-2017,1.0,91600.0,Diesel,Boîte manuelle,9,175
