Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Dacia Duster,26399.0,01/06/2022,1,0,Essence,Boîte manuelle 6 rapports,8.0,150.0
Ford PUMA,25499.0,01/11/2022,1,0,Micro-hybride essence,Boîte automatique 7 rapports,6.0,125.0
Peugeot 208,9999.0,28/05/2015,0,89465,Essence,Boîte manuelle 5 rapports,4.0,68.0
Peugeot 3008,11999.0,20/11/2012,0,89703,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Peugeot 2008,11499.0,29/06/2016,0,102940,Diesel,Boîte manuelle 5 rapports,4.0,75.0
Renault Clio 4,10999.0,11/07/2013,0,94388,Essence,Boîte manuelle 5 rapports,5.0,90.0
Dacia Sandero,10699.0,10/11/2020,0,39019,Essence,Boîte manuelle 5 rapports,4.0,73.0
Peugeot 308,11499.0,04/02/2014,0,120201,Diesel,Boîte manuelle 6 rapports,5.0,115.0
Citroën C3,9299.0,29/06/2015,0,117777,Essence,Boîte manuelle 5 rapports,4.0,82.0
Renault Clio 5,18699.0,01/11/2022,1,0,GPL,Boîte manuelle 6 rapports,5.0,101.0
Renault Captur,11999.0,29/12/2015,0,104519,Diesel,Boîte manuelle 6 rapports,5.0,110.0
Renault Zoé,7499.0,25/06/2015,0,88802,188 km,Électrique,,1.0
Volkswagen Polo,10999.0,22/09/2015,0,141776,Diesel,Boîte manuelle 5 rapports,4.0,90.0
Renault Mégane 4,10999.0,24/02/2016,0,118051,Essence,Boîte manuelle 6 rapports,5.0,100.0
Nissan Qashqai,15299.0,09/12/2016,0,105195,Diesel,Boîte manuelle 6 rapports,5.0,110.0
Citroën C4 Cactus,11999.0,30/06/2016,0,99909,Diesel,Boîte manuelle 5 rapports,5.0,99.0
Volkswagen Golf 7,14999.0,25/07/2015,0,115225,Essence,Boîte automatique 7 rapports,6.0,125.0
Opel Corsa Nouvelle,18499.0,25/10/2022,1,0,Essence,Boîte manuelle 6 rapports,5.0,100.0
Renault Twingo 3,9599.0,18/12/2014,0,62376,Essence,Boîte manuelle 5 rapports,4.0,70.0
Fiat 500,9499.0,29/09/2014,0,49114,Essence,Boîte manuelle 5 rapports,4.0,69.0
Citroën Berlingo,17899.0,06/05/2019,0,22296,138 km,Électrique,,1.0
Citroën C4,11499.0,10/03/2016,0,105311,Essence,Boîte manuelle 5 rapports,6.0,110.0
Audi A3 Sportback,17199.0,30/06/2015,0,81456,Essence,Boîte manuelle 6 rapports,6.0,110.0
Mercedes GLA,18999.0,23/01/2015,0,100349,Diesel,Boîte manuelle 6 rapports,7.0,136.0
Fiat Panda,9299.0,13/03/2014,0,69819,Essence,Boîte manuelle 5 rapports,4.0,69.0
Nissan Juke,12799.0,28/06/2016,0,102585,Diesel,Boîte manuelle 6 rapports,5.0,110.0
Volkswagen TAIGO,25999.0,31/10/2022,1,0,Essence,Boîte manuelle 6 rapports,6.0,110.0
Fiat 500X,12299.0,27/04/2015,0,110002,Essence,Boîte manuelle 6 rapports,8.0,140.0
Kia Picanto,10299.0,16/11/2018,0,35450,Essence,Boîte manuelle 5 rapports,4.0,67.0
Toyota AYGO,10999.0,28/05/2019,0,66170,Essence,Boîte manuelle 5 rapports,4.0,69.0
Renault Clio 4 Société,8999.0,16/12/2016,0,90323,,,4.0,75.0
Citroën C5 Aircross,30499.0,30/09/2022,1,0,Essence,Boîte automatique 8 rapports,7.0,131.0
