Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
BMW X1,23480,01-07-2016,1,94500,Diesel,Boîte automatique,8,150
KIA RIO,9880,12-04-2016,1,65200,Essence,Boîte manuelle,5,85
AUDI RS Q3,27480,20-03-2014,1,175300,Essence,Boîte automatique,21,310
PORSCHE CAYENNE,27880,26-07-2010,1,139000,Diesel,Boîte automatique,15,240
CITROEN C3,6880,07-09-2015,1,134000,Diesel,Boîte manuelle,4,99
