Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
BMW SERIE 3,36480.0,23-05-2019,1,28800,Essence,Boîte automatique,10,184
PORSCHE 911,41880.0,14-01-2003,1,79200,Essence,Boîte automatique,23,320
BMW SERIE 7,45480.0,12-10-2016,1,97300,Diesel,Boîte automatique,28,400
MERCEDES CLASSE E,47880.0,28-09-2017,1,55300,Essence,Boîte automatique,22,333
PORSCHE BOXSTER,25480.0,21-03-2005,1,89600,Essence,Boîte automatique,16,240
PEUGEOT 208,17890.0,24-02-2020,1,32300,Essence,Boîte manuelle,5,100
MINI MINI CABRIOLET,24290.0,28-02-2017,1,38200,Essence,Boîte automatique,10,192
JEEP COMPASS,19480.0,16-03-2018,1,27800,Essence,Boîte manuelle,8,140
CITROEN BERLINGO FOURGON,10480.0,08-12-2017,1,136300,Diesel,Boîte manuelle,5,100
HYUNDAI TUCSON,18480.0,27-12-2017,1,83700,Essence,Boîte manuelle,7,132
OPEL ASTRA,8990.0,24-11-2011,1,86800,Diesel,Boîte manuelle,6,110
DS DS7 CROSSBACK,28880.0,29-09-2019,1,59600,Essence,Boîte automatique,9,180
PEUGEOT 207,8480.0,06-03-2014,1,99600,Essence,Boîte manuelle,7,120
PEUGEOT 3008,26880.0,22-12-2018,1,72000,Essence,Boîte automatique,10,180
MERCEDES CLASSE A,30890.0,23-07-2019,1,69500,Diesel,Boîte automatique,7,150
RENAULT MEGANE,3480.0,31-07-2002,1,136000,Diesel,Boîte manuelle,6,105
BMW X1,22890.0,31-07-2017,1,56500,Diesel,Boîte manuelle,6,116
PORSCHE CAYENNE,27880.0,26-07-2010,1,139000,Diesel,Boîte automatique,15,240
RENAULT LAGUNA,7480.0,17-05-2011,1,155200,Diesel,Boîte manuelle,8,150
RENAULT MEGANE,10880.0,25-04-2016,1,95500,Essence,Boîte manuelle,6,115
VOLKSWAGEN GOLF,,01-10-2020,1,13000,Essence,Boîte manuelle,7,130
DS DS4,12880.0,11-10-2016,1,96600,Diesel,Boîte manuelle,6,120
TOYOTA GT86,22480.0,13-08-2012,1,103800,Essence,Boîte manuelle,12,200
PEUGEOT 207,5290.0,19-05-2008,1,140000,Diesel,Boîte manuelle,4,70
FORD FIESTA,4980.0,18-05-2010,1,159200,Diesel,Boîte manuelle,4,68
FORD FIESTA,5980.0,22-03-2012,1,127300,Essence,Boîte manuelle,4,60
MAZDA MAZDA2,11880.0,25-09-2015,1,91700,Essence,Boîte manuelle,6,115
BMW SERIE 6,31890.0,02-06-2015,1,132000,Diesel,Boîte automatique,20,313
CITROEN C5,16890.0,13-08-2015,1,35500,Diesel,Boîte automatique,12,204
,,22-12-2017,1,61000,Essence,Boîte automatique,7,150
,,10-08-2012,1,88500,Essence,Boîte automatique,47,560
VOLKSWAGEN CADDY,9480.0,29-10-2013,1,177200,Diesel,Boîte manuelle,5,102
ALFA ROMEO GIULIETTA,17480.0,06-06-2017,1,60200,Essence,Boîte automatique,9,170
PEUGEOT 3008,18480.0,23-11-2018,1,128200,Essence,Boîte automatique,7,130
RENAULT MEGANE,12480.0,20-05-2015,1,90200,Essence,Boîte manuelle,7,130
PORSCHE CAYMAN,35880.0,16-05-2006,1,57500,Essence,Boîte automatique,21,295
RENAULT SCENIC,14980.0,23-07-2018,1,110600,Diesel,Boîte automatique,5,110
MERCEDES CLASSE A,18480.0,24-06-2016,1,86700,Diesel,Boîte automatique,5,109
DS DS5,14480.0,17-05-2017,1,126600,Diesel,Boîte automatique,6,120
VOLKSWAGEN T-ROC,23880.0,03-06-2020,1,85200,Diesel,Boîte automatique,8,150
CITROEN DS5,14880.0,10-06-2013,1,99300,Hybrides,Boîte automatique,8,163
BMW X1,30890.0,28-02-2018,1,44500,Essence,Boîte automatique,10,192
VOLKSWAGEN TOURAN,15880.0,08-12-2014,1,63700,Diesel,Boîte automatique,5,105
AUDI Q5,42890.0,06-06-2019,1,91500,Diesel,Boîte automatique,18,286
PEUGEOT 308,21880.0,09-01-2017,1,29700,Essence,Boîte manuelle,11,205
AUDI Q3,25880.0,30-06-2017,1,41000,Essence,Boîte automatique,8,150
VOLVO XC60,27880.0,28-10-2016,1,45500,Diesel,Boîte automatique,10,190
VOLVO XC60,34890.0,23-01-2018,1,102000,Diesel,Boîte automatique,14,235
MERCEDES CLA,33880.0,16-12-2019,1,32000,Diesel,Boîte automatique,6,116
LAND ROVER RANGE ROVER EVOQUE,24880.0,12-07-2016,1,115300,Diesel,Boîte automatique,8,150
LAND ROVER DISCOVERY SPORT,28480.0,26-09-2016,1,76800,Diesel,Boîte automatique,10,180
LAND ROVER RANGE ROVER EVOQUE,19880.0,18-10-2012,1,72200,Diesel,Boîte manuelle,8,150
LAND ROVER DISCOVERY SPORT,38880.0,05-05-2020,1,39500,Diesel,Boîte automatique,9,150
CITROEN C4 CACTUS,12880.0,16-02-2017,1,39800,Essence,Boîte manuelle,4,82
CITROEN C4 CACTUS,11880.0,13-10-2016,1,49800,Essence,Boîte manuelle,4,82
BMW X4,31880.0,06-03-2017,1,75200,Diesel,Boîte automatique,10,190
BMW X5 F15,48880.0,23-03-2017,1,38600,Essence / Hybrides,Boîte automatique,13,245
AUDI RS3 SPORTBACK,40880.0,11-02-2016,1,115000,Essence,Boîte automatique,25,367
AUDI A8,20880.0,25-11-2011,1,158200,Diesel,Boîte automatique,15,250
PEUGEOT 3008,13480.0,24-07-2015,1,98500,Essence,Boîte manuelle,7,130
MAZDA MX-5,23480.0,30-06-2017,1,39700,Essence,Boîte manuelle,9,160
TESLA MODEL 3,46880.0,19-09-2019,1,25000,Electrique,Boîte automatique,11,346
RENAULT MEGANE,15480.0,09-06-2016,1,62300,Diesel,Boîte manuelle,6,130
TOYOTA VERSO,11480.0,23-06-2009,1,125500,Diesel,Boîte automatique,9,150
TOYOTA iQ,7480.0,02-12-2009,1,60600,Essence,Boîte manuelle,4,68
VOLKSWAGEN TIGUAN,24480.0,06-10-2017,1,95300,Diesel,Boîte automatique,8,150
VOLKSWAGEN GOLF,27890.0,15-02-2017,1,103700,Essence,Boîte automatique,19,300
PEUGEOT EXPERT FOURGON,14890.0,17-10-2016,1,148000,Diesel,Boîte manuelle,5,115
SEAT IBIZA,4990.0,03-08-2000,1,12500,Essence,Boîte manuelle,5,60
RENAULT CLIO,9290.0,06-09-2017,1,118000,Diesel,Boîte manuelle,4,90
PEUGEOT PARTNER FOURGON,10890.0,30-12-2016,1,142000,Diesel,Boîte manuelle,7,100
PEUGEOT 308,,25-10-2018,1,68100,Essence,Boîte automatique,7,130
AUDI Q2,,12-06-2019,1,30800,Essence,Boîte automatique,8,150
MERCEDES CLASSE B,,18-05-2018,1,53000,Diesel,Boîte automatique,9,177
FORD EDGE,31880.0,15-02-2019,1,121000,Diesel,Boîte automatique,15,238
MERCEDES CLASSE C,13880.0,29-05-2012,1,183200,Diesel,Boîte automatique,11,204
AUDI A5,16880.0,07-06-2012,1,126200,Diesel,Boîte manuelle,9,170
PEUGEOT 208,17480.0,06-10-2020,1,19500,Essence,Boîte manuelle,5,100
OPEL VIVARO COMBI,23890.0,26-12-2016,1,108200,Diesel,Boîte manuelle,7,125
MINI MINI CLUBMAN F54,25480.0,08-12-2016,1,104000,Essence,Boîte automatique,14,231
LAND ROVER RANGE ROVER EVOQUE,41890.0,21-11-2019,1,48200,Diesel,Boîte automatique,10,180
JEEP GRAND CHEROKEE,33890.0,22-07-2013,1,118000,Essence,Boîte automatique,39,468
BMW SERIE 5,20480.0,30-01-2017,1,197600,Diesel,Boîte automatique,15,258
PEUGEOT 2008,11480.0,20-09-2013,1,106000,Diesel,Boîte manuelle,6,115
FIAT 500,10880.0,29-04-2016,1,39300,Essence,Boîte manuelle,4,69
NISSAN QASHQAI,12880.0,24-03-2014,1,119200,Diesel,Boîte manuelle,5,110
CITROEN BERLINGO MULTISPACE,11890.0,16-03-2017,1,159500,Essence,Boîte manuelle,6,110
AUDI TT,22480.0,15-11-2013,1,57200,Essence,Boîte automatique,9,160
AUDI S8,38890.0,27-11-2012,1,124200,Essence,Boîte automatique,42,520
BMW SERIE 1,19880.0,19-01-2018,1,71700,Diesel,Boîte automatique,7,150
PEUGEOT 208,18480.0,16-03-2021,1,33500,Essence,Boîte manuelle,5,100
OPEL CORSA,9880.0,02-10-2017,1,68500,Essence,Boîte manuelle,5,90
VOLKSWAGEN CRAFTER VAN,16890.0,16-12-2016,1,136000,Diesel,Boîte manuelle,7,140
KIA CEED,22480.0,15-03-2019,1,29000,Essence,Boîte automatique,7,140
CITROEN C4 PICASSO,13880.0,03-04-2017,1,80100,Essence,Boîte manuelle,6,110
MG ZS,24640.0,25-10-2022,1,100,Essence,Boîte automatique,6,111
VOLKSWAGEN TOURAN,6480.0,06-05-2010,1,186200,Diesel,Boîte manuelle,6,105
SUBARU XV,13480.0,04-07-2016,1,119000,Diesel,Boîte manuelle,8,147
OPEL AGILA,5980.0,30-04-2010,1,82300,Essence,Boîte manuelle,4,65
CHEVROLET CAPTIVA,8480.0,09-09-2008,1,127200,Essence,Boîte manuelle,9,136
BMW SERIE 5,,31-12-2013,1,16800,Diesel,Boîte automatique,26,381
ABARTH 500,,07-03-2013,1,94000,Essence,Boîte manuelle,9,160
RENAULT CAPTUR,,29-10-2019,1,10500,Essence,Boîte manuelle,7,130
AUDI RS4,77880.0,19-01-2018,1,76500,Essence,Boîte automatique,34,450
VOLKSWAGEN TIGUAN,18480.0,01-01-2016,1,72000,Essence,Boîte automatique,8,150
,,23-08-2019,1,15000,Essence,Boîte automatique,7,131
MERCEDES CLASSE A,33480.0,06-08-2018,1,39000,Essence,Boîte automatique,8,163
PEUGEOT 3008,15480.0,05-08-2016,1,33000,Diesel,Boîte manuelle,6,120
DS DS7 CROSSBACK,29880.0,23-03-2020,1,58600,Essence,Boîte automatique,10,180
,,06-09-2017,1,79600,Diesel,Boîte manuelle,5,75
DS DS7 CROSSBACK,29880.0,23-03-2020,1,58600,Essence,Boîte automatique,10,180
AUDI A6,16880.0,17-11-2011,1,171200,Diesel,Boîte automatique,10,177
CITROEN C3 PLURIEL,6480.0,22-07-2010,1,92200,Diesel,Boîte manuelle,4,70
BMW SERIE 3,12480.0,23-04-2014,1,147000,Diesel,Boîte manuelle,6,116
MINI MINI,23890.0,23-12-2019,1,42600,Essence,Boîte automatique,7,136
MINI MINI,12480.0,10-10-2008,1,114000,Essence,Boîte manuelle,12,211
PEUGEOT 508,14880.0,24-03-2015,1,103700,Diesel,Boîte automatique,9,180
